number drawn: 7
	0	1	2	3	4	5	6	7	8	9	10	11
20	501	1950	3274	2685	1214	334	40	2	0	0	0	0
21	388	1754	3196	2789	1433	398	41	1	0	0	0	0
22	326	1574	3000	2916	1631	476	73	4	0	0	0	0
23	262	1360	2915	2977	1787	599	90	10	0	0	0	0
24	219	1185	2760	3064	1940	693	133	6	0	0	0	0
25	192	1068	2487	3122	2128	836	159	8	0	0	0	0
26	119	860	2248	3186	2403	977	187	20	0	0	0	0
27	105	764	2114	3093	2566	1063	266	29	0	0	0	0
28	90	690	2007	3092	2538	1279	278	26	0	0	0	0
number drawn: 8
	0	1	2	3	4	5	6	7	8	9	10	11
20	324	1404	2823	3014	1680	617	125	12	1	0	0	0
21	217	1232	2705	3013	1930	742	144	15	2	0	0	0
22	184	1056	2475	3109	2090	860	187	37	2	0	0	0
23	149	948	2295	2991	2269	1048	266	33	1	0	0	0
24	113	756	2080	3002	2436	1211	361	36	5	0	0	0
25	97	645	1941	2948	2537	1390	378	56	8	0	0	0
26	75	536	1684	2833	2693	1565	511	102	1	0	0	0
27	62	458	1540	2754	2753	1692	625	108	8	0	0	0
28	43	374	1337	2638	2787	1924	713	165	19	0	0	0
number drawn: 9
	0	1	2	3	4	5	6	7	8	9	10	11
20	157	961	2426	2949	2269	936	258	40	4	0	0	0
21	126	880	2193	2901	2381	1144	311	59	5	0	0	0
22	107	735	1969	2787	2584	1354	384	74	6	0	0	0
23	68	600	1760	2752	2684	1501	518	103	14	0	0	0
24	65	507	1503	2700	2681	1696	665	171	12	0	0	0
25	55	394	1298	2594	2878	1792	755	211	22	1	0	0
26	27	312	1190	2353	2905	2005	915	256	36	1	0	0
27	30	283	1042	2198	2812	2150	1092	341	49	3	0	0
28	17	178	844	1988	2770	2427	1237	454	79	6	0	0
number drawn: 10
	0	1	2	3	4	5	6	7	8	9	10	11
20	147	711	1914	2811	2525	1329	446	108	8	1	0	0
21	94	575	1700	2603	2630	1570	649	149	30	0	0	0
22	55	465	1461	2659	2655	1744	742	193	24	2	0	0
23	46	377	1305	2390	2742	1975	867	258	36	4	0	0
24	27	329	1063	2191	2750	2203	1059	303	72	3	0	0
25	22	238	948	2056	2727	2287	1207	415	90	10	0	0
26	17	155	807	1913	2599	2451	1411	521	106	18	2	0
27	16	140	655	1726	2558	2441	1648	629	161	26	0	0
28	15	102	509	1402	2450	2666	1781	821	222	32	0	0
number drawn: 11
	0	1	2	3	4	5	6	7	8	9	10	11
20	65	525	1514	2525	2589	1782	758	197	42	3	0	0
21	61	406	1271	2415	2669	1931	921	263	58	5	0	0
22	37	288	1120	2222	2653	2102	1066	421	82	9	0	0
23	24	213	935	2026	2650	2198	1311	509	113	20	1	0
24	23	192	726	1789	2582	2469	1479	587	129	23	1	0
25	15	127	607	1574	2380	2578	1714	777	191	32	5	0
26	4	109	529	1387	2320	2580	1829	910	269	53	10	0
27	7	77	383	1184	2233	2590	2028	1059	364	63	11	1
28	7	47	317	968	2086	2635	2132	1239	453	102	13	1
